Month,Year,Company,Number_Disconnections_Res,Outliers
4,2008,Duke Energy Progress,10137,
4,2008,Dominion,415,
4,2008,Duke Energy Carolinas,12591,Y
4,2008,New River Light & Power,32,
5,2008,Duke Energy Progress,8769,
5,2008,Dominion,520,
5,2008,Duke Energy Carolinas,11913,
5,2008,New River Light & Power,23,
6,2008,Duke Energy Progress,7561,
6,2008,Dominion,598,
6,2008,Duke Energy Carolinas,11118,
6,2008,New River Light & Power,24,
7,2008,Duke Energy Progress,7029,
7,2008,Dominion,313,
7,2008,Duke Energy Carolinas,10715,
7,2008,New River Light & Power,16,
8,2008,Duke Energy Progress,7491,
8,2008,Dominion,283,
8,2008,Duke Energy Carolinas,10003,
8,2008,New River Light & Power,12,
9,2008,Duke Energy Progress,7920,
9,2008,Dominion,231,
9,2008,Duke Energy Carolinas,12892,Y
9,2008,New River Light & Power,10,
10,2008,Duke Energy Progress,9579,
10,2008,Dominion,342,
10,2008,Duke Energy Carolinas,14290,Y
10,2008,New River Light & Power,10,
11,2008,Duke Energy Progress,8410,
11,2008,Dominion,174,
11,2008,Duke Energy Carolinas,10635,
11,2008,New River Light & Power,10,
12,2008,Duke Energy Progress,8579,
12,2008,Dominion,357,
12,2008,Duke Energy Carolinas,11121,
12,2008,New River Light & Power,16,
1,2007,Duke Energy Carolinas,8524,
1,2007,Duke Energy Progress,8770,
1,2007,Dominion,233,
1,2007,New River Light & Power,19,
2,2007,Duke Energy Progress,7687,
2,2007,Dominion,390,
2,2007,Duke Energy Carolinas,8626,
2,2007,New River Light & Power,10,
3,2007,Duke Energy Progress,9317,9632 or 10607
3,2007,Dominion,552,
3,2007,Duke Energy Carolinas,11874,
3,2007,New River Light & Power,17,
4,2007,Duke Energy Progress,9632,
4,2007,Dominion,580,
4,2007,Duke Energy Carolinas,9148,
4,2007,New River Light & Power,13,
5,2007,Duke Energy Progress,10607,
5,2007,Dominion,508,
5,2007,Duke Energy Carolinas,13649,Y
5,2007,New River Light & Power,25,
6,2007,Duke Energy Progress,8261,
6,2007,Dominion,369,
6,2007,Duke Energy Carolinas,10278,
6,2007,New River Light & Power,13,
7,2007,Duke Energy Progress,8100,
7,2007,Dominion,310,
7,2007,Duke Energy Carolinas,9962,
7,2007,New River Light & Power,15,
8,2007,Duke Energy Progress,7998,
8,2007,Dominion,362,
8,2007,Duke Energy Carolinas,10158,
8,2007,New River Light & Power,16,
9,2007,Duke Energy Progress,9633,
9,2007,Dominion,334,
9,2007,Duke Energy Carolinas,10667,
9,2007,New River Light & Power,6,
10,2007,Duke Energy Progress,11144,
10,2007,Dominion,448,
10,2007,Duke Energy Carolinas,14393,Y
10,2007,New River Light & Power,9,
11,2007,Duke Energy Progress,10189,
11,2007,Dominion,302,
11,2007,Duke Energy Carolinas,12584,Y
11,2007,New River Light & Power,9,
12,2007,Duke Energy Progress,7196,
12,2007,Dominion,290,
12,2007,Duke Energy Carolinas,9983,
12,2007,New River Light & Power,13,
1,2006,Duke Energy Carolinas,10421,Y
1,2006,Duke Energy Progress,6162,
1,2006,Dominion,98,
1,2006,New River Light & Power,22,
2,2006,Duke Energy Progress,6622,
2,2006,Dominion,251,
2,2006,Duke Energy Carolinas,8824,
2,2006,New River Light & Power,9,
3,2006,Duke Energy Progress,8283,
3,2006,Dominion,250,
3,2006,Duke Energy Carolinas,10827,Y
3,2006,New River Light & Power,15,
4,2006,Duke Energy Progress,7283,
4,2006,Dominion,317,
4,2006,Duke Energy Carolinas,9156,
4,2006,New River Light & Power,14,
5,2006,Duke Energy Progress,8919,
5,2006,Dominion,502,
5,2006,Duke Energy Carolinas,11905,Y
5,2006,New River Light & Power,33,
6,2006,Duke Energy Progress,7490,
6,2006,Dominion,448,
6,2006,Duke Energy Carolinas,10158,
6,2006,New River Light & Power,2006,
7,2006,Duke Energy Progress,6441,
7,2006,Dominion,149,
7,2006,Duke Energy Carolinas,7867,
7,2006,New River Light & Power,35,
